,Request #,Status,Request Type,Subrequest Type,Additional Subrequest Type,Date / Time Opened,Date / Time Closed,Request Origin,System of Origin ID,Contact Type,Preferred Language,State Issue,Parent Request,Closed When Created,Address,City,Council District,ZIP,Latitude,Longitude,Mapped Location
50890,441207,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/10/2020 05:57:18 AM,09/10/2020 07:08:23 AM,hubNashville Community,,,,False,,False,502 Southgate Ave,NASHVILLE,17.0,37203.0,36.13584142916477,-86.7653873384373,"(36.13584142916477, -86.7653873384373)"
55174,371885,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/19/2020 05:33:12 PM,07/24/2020 07:40:05 AM,hubNashville Community,,,,False,,False,1707 16th Ave N,NASHVILLE,21.0,37208.0,36.17747543532438,-86.80775255284806,"(36.17747543532438, -86.80775255284806)"
56478,369973,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/17/2020 12:42:38 AM,05/18/2020 08:24:04 PM,hubNashville Community,,,,False,,False,321 S 11th St,NASHVILLE,6.0,37206.0,36.17245672777246,-86.75041592797396,"(36.17245672777246, -86.75041592797395)"
56728,369904,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/16/2020 06:53:03 PM,05/20/2020 07:24:54 AM,hubNashville Community,,,,False,369886.0,False,548 Rural Hill Rd,NASHVILLE,29.0,37217.0,36.085606211573975,-86.6228386932541,"(36.08560621157398, -86.6228386932541)"
57614,377748,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/27/2020 06:54:11 PM,05/29/2020 07:20:14 AM,hubNashville Community,,,,False,,False,1715 17th Ave N,NASHVILLE,21.0,37208.0,36.177351653912616,-86.80918610274394,"(36.17735165391262, -86.80918610274394)"
57780,377771,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/27/2020 07:06:10 PM,05/29/2020 07:21:08 AM,hubNashville Community,,,,False,,False,1736 16th Ave N,NASHVILLE,21.0,37208.0,36.17905861942143,-86.80829904014358,"(36.179058619421426, -86.80829904014358)"
60182,371055,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/18/2020 07:16:53 PM,05/19/2020 07:37:48 AM,Phone,,,,False,,False,1511 Cahal Ave,NASHVILLE,7.0,37206.0,36.19640800000001,-86.736059,"(36.19640800000001, -86.736059)"
60615,348752,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,04/20/2020 12:39:23 PM,06/06/2020 07:11:51 AM,hubNashville Community,,,,False,,False,1720 Northview Ave,NASHVILLE,7.0,37216.0,36.2005672,-86.73544910000003,"(36.2005672, -86.73544910000001)"
68780,481729,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,10/15/2020 06:36:24 PM,10/16/2020 10:50:20 AM,hubNashville Community,,,,False,,False,119 Mason Ave,NASHVILLE,21.0,37203.0,36.14381489999999,-86.81966790000001,"(36.14381489999999, -86.81966790000001)"
70031,366222,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/12/2020 11:12:20 PM,06/24/2020 07:16:14 AM,hubNashville Community,,,,False,,False,80 Peachtree St,NASHVILLE,16.0,37210.0,36.120150591975396,-86.73825664492962,"(36.120150591975396, -86.73825664492962)"
70700,442763,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,08/11/2020 08:16:46 PM,08/12/2020 12:27:44 PM,hubNashville Community,,,,False,,False,1102A Joseph Ave,NASHVILLE,5.0,37207.0,36.19028039999999,-86.77196610000001,"(36.19028039999999, -86.77196610000001)"
80152,443103,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,08/12/2020 01:23:19 PM,08/12/2020 01:41:20 PM,hubNashville Community,,,,False,,False,1237 2nd Ave S,NASHVILLE,17.0,37210.0,36.1438394,-86.76372239999998,"(36.1438394, -86.76372239999999)"
86002,80196,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/03/2018 08:41:56 PM,09/25/2018 08:15:48 PM,hubNashville Community,,,,False,,False,80 Peachtree St,NASHVILLE,16.0,37210.0,36.119853427722155,-86.73815791173756,"(36.119853427722155, -86.73815791173756)"
86267,412816,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/10/2020 01:04:52 PM,07/28/2020 07:04:46 AM,Phone,,,,False,,False,367 Gillette Rd,NASHVILLE,30.0,37211.0,36.0609691,-86.7099369,"(36.0609691, -86.7099369)"
86570,81723,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/10/2018 02:26:29 PM,10/24/2018 03:18:17 PM,hubNashville Community,,,,False,,False,80 Peachtree St,NASHVILLE,16.0,37210.0,36.12001,-86.73817,"(36.12001, -86.73817)"
87258,81609,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/09/2018 10:47:07 PM,07/10/2018 07:02:56 PM,hubNashville Community,,,,False,,False,2312 Elliston Place,NASHVILLE,21.0,37203.0,36.1498711,-86.80616020000002,"(36.1498711, -86.80616020000002)"
88879,377764,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/27/2020 07:01:50 PM,05/29/2020 07:21:29 AM,hubNashville Community,,,,False,,False,1735 16th Ave N,NASHVILLE,21.0,37208.0,36.178852587233635,-86.80885815992585,"(36.17885258723363, -86.80885815992585)"
90318,375361,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/23/2020 04:38:03 AM,,hubNashville Community,,,,False,,False,947 Russell St,NASHVILLE,6.0,37206.0,36.175488661612206,-86.7523064,"(36.1754886616122, -86.7523064)"
90748,377746,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/27/2020 06:52:07 PM,05/29/2020 07:20:14 AM,hubNashville Community,,,,False,,False,1706 17th Ave N,NASHVILLE,21.0,37208.0,36.17718202814822,-86.80857213558193,"(36.17718202814823, -86.80857213558194)"
91903,407901,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/05/2020 04:42:43 PM,07/06/2020 03:50:49 PM,hubNashville Community,,,,False,,False,502 Southgate Ave,NASHVILLE,17.0,37203.0,36.13589326159537,-86.76551394999998,"(36.13589326159537, -86.76551394999998)"
91946,443658,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,08/12/2020 08:10:13 PM,08/12/2020 09:33:18 PM,Phone,,,,False,,False,Nashville,NASHVILLE,19.0,37219.0,36.1626638,-86.78160159999999,"(36.1626638, -86.7816016)"
94521,391789,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,06/14/2020 04:54:07 PM,06/15/2020 06:15:43 PM,hubNashville Community,,,,False,,False,121 30th Ave N,NASHVILLE,21.0,37203.0,36.144869899999996,-86.81538520000001,"(36.1448699, -86.8153852)"
96631,371863,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/19/2020 05:20:02 PM,05/30/2020 07:36:59 AM,hubNashville Community,,,,False,,False,1608 16th Ave N,NASHVILLE,21.0,37208.0,36.175889500000004,-86.80573270000001,"(36.1758895, -86.8057327)"
97914,239440,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/29/2019 01:05:16 AM,06/25/2020 07:13:10 AM,hubNashville Community,,,,False,99402.0,False,823 Hillview Heights,NASHVILLE,17.0,37204.0,36.125926899999996,-86.78069419999996,"(36.1259269, -86.78069419999997)"
98332,90893,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/16/2018 04:24:19 PM,10/18/2018 01:44:59 PM,hubNashville Community,,,,False,,False,1801 Woodland St,NASHVILLE,6.0,37206.0,36.17689436943835,-86.73785098972822,"(36.17689436943835, -86.73785098972822)"
99120,99387,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,09/14/2018 10:47:12 PM,06/29/2020 01:17:12 PM,hubNashville Community,,Resident,,False,,False,831 Goff,NASHVILLE,2.0,37208.0,36.18569,-86.80286,"(36.18569, -86.80286)"
99250,407585,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/04/2020 03:21:34 PM,07/16/2020 07:03:38 AM,Mobile App,,,,False,407641.0,False,912 Phillips St,NASHVILLE,19.0,37208.0,36.17219789999999,-86.7927054,"(36.17219789999999, -86.7927054)"
100159,457984,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,09/03/2020 07:53:53 PM,10/12/2020 07:10:12 AM,hubNashville Community,,,,False,,False,2550 Hibbitts Rd,NASHVILLE,15.0,37214.0,36.1605808,-86.67520460000001,"(36.1605808, -86.67520460000001)"
100537,407641,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,07/04/2020 06:10:32 PM,07/16/2020 07:03:38 AM,hubNashville Community,,,,False,,False,912 Phillips St,NASHVILLE,19.0,37208.0,36.17219789999999,-86.7927054,"(36.17219789999999, -86.7927054)"
100720,292682,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,01/14/2020 02:09:07 PM,01/14/2020 05:28:42 PM,hubNashville Community,,,,False,,False,303 N 16th St,NASHVILLE,6.0,37206.0,36.17903469999999,-86.74129239999998,"(36.17903469999999, -86.74129239999999)"
101338,380665,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,06/01/2020 01:16:15 AM,06/18/2020 07:37:58 AM,hubNashville Community,,,,False,375736.0,False,323 Cleveland St,NASHVILLE,5.0,37207.0,36.1871572,-86.76591450000001,"(36.1871572, -86.7659145)"
103567,289672,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,01/08/2020 01:08:13 PM,01/08/2020 04:54:28 PM,Mobile App,,,,False,,False,610 21st Ave N,NASHVILLE,21.0,37203.0,36.15937449999999,-86.80679620000001,"(36.15937449999999, -86.8067962)"
113390,435575,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/02/2020 08:31:11 PM,11/05/2020 08:09:10 AM,hubNashville Community,,,,False,435425.0,False,21B Fern Ave,NASHVILLE,5.0,37207.0,36.195755495266326,-86.77461929813305,"(36.195755495266326, -86.77461929813305)"
114017,437933,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/05/2020 01:04:18 PM,11/05/2020 08:09:10 AM,hubNashville Community,,,,False,435425.0,False,21B Fern Ave,NASHVILLE,5.0,37207.0,36.195731099999996,-86.77460529999998,"(36.1957311, -86.77460529999999)"
116111,440779,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/08/2020 03:31:00 AM,,Mobile App,,,,False,,False,1517B Hayden Dr,NASHVILLE,7.0,37206.0,36.1942993,-86.7144941,"(36.1942993, -86.7144941)"
116265,99462,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,09/15/2018 06:41:33 PM,09/17/2018 01:54:12 PM,hubNashville Community,,,,False,,False,823 Hillview Heights,NASHVILLE,17.0,37204.0,36.125926899999996,-86.78069419999996,"(36.1259269, -86.78069419999997)"
